result_type,temperature_K,electron_incomplete_cm3,hole_incomplete_cm3,electron_complete_cm3,intrinsic_boltzmann_analytical_cm3,ionized_donor_fraction,fermi_level_eV,bandgap_eV,scope_notes
NUMERICAL RESULT,40.0,34636493670201.22,1.2220084353288358e-125,999999999999906.5,2.0573396258242416e-56,0.03463649367019248,1.1318712457277316,1.168380473372781,
NUMERICAL RESULT,40.7258082418058,39400506255105.36,4.8194295505334874e-123,999999999999991.8,4.3576350418410214e-55,0.03940050625506701,1.1315266349275492,1.168340721382897,
NUMERICAL RESULT,41.46478642370847,44712362680796.83,1.710788629389001e-120,999999999999984.6,8.746098137470699e-54,0.044712362680779834,1.1311730184211861,1.168299579840866,
NUMERICAL RESULT,42.2171735169846,50619135277332.21,5.476556985000755e-118,1000000000000027.2,1.6649981905724458e-52,0.05061913527733797,1.1308100452699175,1.1682570013266749,
NUMERICAL RESULT,42.98321282909394,57169607662278.26,1.5839703231688354e-115,999999999999714.6,3.009254951922934e-51,0.05716960766227765,1.1304373420295637,1.168212936861699,
NUMERICAL RESULT,43.7631520823602,64413947202294.86,4.146856076889451e-113,1000000000001576.2,5.168357802626301e-50,0.064413947202296,1.1300545111656684,1.1681673358605098,
NUMERICAL RESULT,44.55724349407966,72403296796206.17,9.844976152511822e-111,999999999999984.6,8.442866733750484e-49,0.07240329679621209,1.1296611293985053,1.168120146081344,
NUMERICAL RESULT,45.36574385808344,81189278293260.31,2.123306560436304e-108,1000000000000020.1,1.31298400099657e-47,0.08118927829325916,1.1292567459829863,1.1680713135752026,
NUMERICAL RESULT,46.188914627779674,90823400445191.39,4.1675338125567434e-106,1000000000000005.9,1.945550555974302e-46,0.09082340044568701,1.1288408809308483,1.1680207826335531,
NUMERICAL RESULT,47.02702200070237,101356365280974.53,7.457063121027858e-104,1000000000000119.6,2.7492475761829357e-45,0.10135636528097165,1.1284130231854652,1.1679684957346046,
NUMERICAL RESULT,47.880337004594715,112837268263687.36,1.2184863383788852e-101,1000000000001007.8,3.7080143947258947e-44,0.11283726826369297,1.1279726287628624,1.1679143934881193,
NUMERICAL RESULT,48.749135585054084,125312689664314.66,1.8212428114600037e-99,1000000000002016.8,4.77734535097113e-43,0.12531268966431822,1.1275191188775637,1.1678584145787394,
NUMERICAL RESULT,49.63369869476761,138825677307849.48,2.49418159625359e-97,1000000000001363.0,5.884431724215897e-42,0.13882567730861395,1.1270518780764143,1.1678004957077892,
NUMERICAL RESULT,50.53431238436686,153414624385556.56,3.134792036518979e-95,1000000000000354.1,6.934956857939847e-41,0.153414624370326,1.1265702524109724,1.1677405715335263,
NUMERICAL RESULT,51.45126789493093,169112050312216.7,3.621647407380683e-93,1000000000000062.8,7.826125635019873e-40,0.1691120503122179,1.126073547684203,1.16767857460981,
NUMERICAL RESULT,52.38486175216842,185943298155685.1,3.8521728808992434e-91,1000000000000005.9,8.463501159783744e-39,0.1859432981556798,1.1255610278236017,1.167614435323154,
NUMERICAL RESULT,53.335395862308,203925167920961.1,3.778175927548529e-89,1000000000039433.9,8.777763539102931e-38,0.20392516792098137,1.1250319134293183,1.1675480818281307,
NUMERICAL RESULT,54.30317760972897,223064512748275.28,3.422152558868785e-87,999999999996851.1,8.737210066097553e-37,0.22306451274841319,1.1244853805747623,1.1674794399811013,
NUMERICAL RESULT,55.28851995636365,243356832620966.9,2.8668881462280407e-85,999999999999906.5,8.35286543906636e-36,0.24335683262113808,1.1239205599366993,1.1674084332722294,
NUMERICAL RESULT,56.291741542903,264784909051557.53,2.2246372967211194e-83,999999999999991.8,7.675117858108731e-35,0.26478490905228186,1.1233365363523176,1.1673349827557586,
NUMERICAL RESULT,57.31316679183904,287317533082451.3,1.6013163469729158e-81,1000000000007480.9,6.78311157596927e-34,0.28731753308245744,1.122732348912902,1.1672590069785118,
NUMERICAL RESULT,58.35312601237676,310908387648899.9,1.0707456994231714e-79,1000000000021634.9,5.769912321476763e-33,0.31090838764879164,1.1221069917169075,1.1671804219065858,
NUMERICAL RESULT,59.411955507249665,335495153165039.5,6.660364408696087e-78,999999999995664.5,4.7271832790786336e-32,0.33549515316387857,1.1214594154164024,1.1670991408502094,
NUMERICAL RESULT,60.48999768147372,360998911116507.1,3.859334935396903e-76,1000000000022189.1,3.732673386207198e-31,0.360998911115004,1.1207885296968219,1.1670150743867291,
NUMERICAL RESULT,61.58760115307445,387323923451501.2,2.086023265884888e-74,1000000000000148.0,2.8425494177423754e-30,0.3873239234524204,1.1200932068301597,1.1669281302816976,
NUMERICAL RESULT,62.70512086582322,414357864254106.4,1.0531642787768802e-72,1000000000004667.1,2.0890440998410557e-29,0.4143578642547247,1.1193722864312365,1.1668382134080275,
NUMERICAL RESULT,63.84291820401932,441972573225522.94,4.9729018148739305e-71,999999999961444.8,1.4825686312661497e-28,0.44197257322574907,1.1186245815231757,1.1667452256631812,
NUMERICAL RESULT,65.00136110935465,470025386660311.75,2.1989479764186014e-69,999999999999998.9,1.016671780165251e-27,0.4700253866603485,1.117848885979098,1.166649065884369,
NUMERICAL RESULT,66.18082419989878,498361079738605.56,9.11703108249276e-68,1000000000000013.0,6.740805805498402e-27,0.4983610797386233,1.1170439833473897,1.166549629761719,
NUMERICAL RESULT,67.38168889124348,526814423887437.9,3.5485797092622206e-66,999999999999998.9,4.3238391324176996e-26,0.5268144238874342,1.1162086569891025,1.1664468097493954,
NUMERICAL RESULT,68.604343519845,555213325150006.3,1.29817801034201e-64,999999999975932.8,2.684793131856833e-25,0.5552133251600859,1.1153417013572426,1.1663404949746277,
NUMERICAL RESULT,69.84918346860452,583382465919841.5,4.4688379539759513e-63,1000000000001093.0,1.6146859502924144e-24,0.5833824659198458,1.114441934134801,1.1662305711446292,
NUMERICAL RESULT,71.1166112947275,611147326025145.5,1.4491841431159233e-61,999999999999565.4,9.411288768933291e-24,0.6111473260331963,1.1135082088261317,1.1661169204513704,
NUMERICAL RESULT,72.40703685990289,638338415611719.8,4.431947132028016e-60,999999999998705.6,5.319090388142388e-23,0.6383384156118875,1.1125394272868274,1.1659994214741805,
NUMERICAL RESULT,73.72087746284426,664795515582893.9,1.2795766580906512e-58,999999999999338.0,2.9167015319882536e-22,0.664795515607216,1.1115345515780952,1.1658779490801503,
NUMERICAL RESULT,75.05855797423646,690371700170104.1,3.491264312872414e-57,1000000000018544.0,1.5525579151249943e-21,0.6903717001701188,1.1104926144876175,1.1657523743223088,
NUMERICAL RESULT,76.42051097413051,714936912244544.4,9.011002956913883e-56,999999999999991.8,8.026671716567894e-21,0.7149369122445545,1.1094127280503534,1.1656225643355458,
NUMERICAL RESULT,77.8071768918314,738380882849140.0,2.2021784182695858e-54,999999999999998.9,4.0325673352613735e-20,0.7383808828491453,1.1082940894844289,1.1654883822302564,
NUMERICAL RESULT,79.21900414832479,760615226856201.2,5.100608998982827e-53,999999999999998.9,1.9697391630188795e-19,0.760615226856612,1.1071359840791797,1.165349686983684,
NUMERICAL RESULT,80.65644930128737,781574608388080.2,1.120649620741002e-51,999999999986733.0,9.359127074117107e-19,0.7815746083880635,1.1059377847767107,1.1652063333289324,
NUMERICAL RESULT,82.11997719272908,801216941631195.1,2.337609132151395e-50,999999999999963.2,4.3278896188451144e-18,0.8012169416312749,1.1046989484157541,1.1650581716416315,
NUMERICAL RESULT,83.61006109931378,819522667990107.8,4.633327133827545e-49,1000000000000013.0,1.948686908020183e-17,0.819522667990102,1.1034190088507945,1.164905047824228,
NUMERICAL RESULT,85.12718288540802,836493218528400.6,8.733489526023322e-48,1000000000000013.0,8.547519819508882e-17,0.8364932185284006,1.1020975673807627,1.1647468031878845,
NUMERICAL RESULT,86.67183315890655,852148823247450.0,1.5667592333063001e-46,999999999983997.4,3.6540436595556017e-16,0.85214882324745,1.1007342810946876,1.164583274331965,
NUMERICAL RESULT,88.24451142988538,866525860453505.4,2.6771605925440673e-45,1000000000000062.8,1.5231500909957354e-15,0.86652586045353,1.0993288498461689,1.1644142930210888,
NUMERICAL RESULT,89.84572627213383,879673948664472.5,4.360493760273265e-44,999999999999998.9,6.19360137552286e-15,0.8796739486644662,1.097881002597409,1.1642396860597355,
NUMERICAL RESULT,91.47599548761747,891652972154677.5,6.775036731126233e-43,999999999999991.8,2.4579220966074957e-14,0.8916529721546839,1.0963904838311884,1.164059275164385,
NUMERICAL RESULT,93.13584627392507,902530204056669.0,1.0049006971952346e-41,999999999999984.6,9.523719389260817e-14,0.9025302040566561,1.0948570406302955,1.1638728768331774,
NUMERICAL RESULT,94.82581539475441,912377654045941.4,1.4239237694438747e-40,1000000000000332.8,3.604496499704473e-13,0.9123776540459674,1.0932804108887315,1.163680302213079,
NUMERICAL RESULT,96.5464493534912,921269727222470.4,1.9289252655952177e-39,1000000000001682.8,1.3331063004992985e-12,0.921269727223066,1.0916603129690814,1.1634813569645452,
NUMERICAL RESULT,98.29830456993749,929281242078696.1,2.499878530322445e-38,1000000000001782.2,4.819993697759215e-12,0.929281242079581,1.08999643697464,1.1632758411236654,
